                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.64463,                 1.3433,                  1.145,                0.91616,                0.37327,                0.57568,                0.43026,                 1.6779,                 2.3046,                  1.496,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.90923,                 1.2097,                 1.4962,                0.91798,                0.37349,                0.46653,                0.33946,                 1.6712,                  2.295,                 1.5064,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.96973,                 1.1529,                 1.2931,                0.91798,                0.37349,                0.46653,                0.33946,                 1.6712,                  2.295,                 1.5064,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.95184,                 1.9569,                 1.3085,                0.91415,                0.37316,                0.45299,                 0.3105,                 1.6697,                 2.2941,                 1.5033,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.82112,                 1.4576,                 1.2193,                0.91415,                0.37316,                0.45299,                 0.3105,                 1.6697,                 2.2941,                 1.5033,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.73377,                 1.2874,                 1.1429,                0.91666,                0.37318,                0.45158,                0.30283,                 1.6889,                 2.3242,                 1.5142,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.47438,                0.96393,                0.96195,                0.91666,                0.37318,                0.45158,                0.30283,                 1.6889,                 2.3242,                 1.5142,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.79884,                0.90481,                 1.0891,                0.91471,                0.37284,                 0.4523,                0.30194,                 1.6932,                 2.3282,                 1.5139,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.65784,                0.77575,                 1.0627,                0.91471,                0.37284,                 0.4523,                0.30194,                 1.6932,                 2.3282,                 1.5139,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 0.6741,                0.90881,                 1.0191,                0.91689,                0.37249,                0.45432,                0.30471,                 1.6978,                 2.3354,                 1.5119,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.60813,                 1.7466,                 1.0796,                0.91689,                0.37249,                0.45432,                0.30471,                 1.6978,                 2.3354,                 1.5119,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0748,                 1.4126,                 1.3344,                0.91787,                0.37227,                0.44717,                0.32756,                 1.7072,                 2.3478,                  1.519,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.90955,                 0.8833,                 1.3395,                0.91787,                0.37227,                0.44717,                0.32756,                 1.7072,                 2.3478,                  1.519,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.59803,                0.76648,                 1.0003,                0.94043,                0.39192,                0.45108,                0.33007,                 1.7238,                 2.3714,                 1.5208,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.74263,                 1.0748,                 1.1831,                0.94043,                0.39192,                0.45108,                0.33007,                 1.7238,                 2.3714,                 1.5208,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.82763,                 1.7719,                 1.2671,                0.94201,                0.39313,                0.45553,                 0.3305,                  1.728,                 2.3058,                  1.516,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.87693,                 1.5334,                 1.2464,                0.94201,                0.39313,                0.45553,                 0.3305,                  1.728,                 2.3058,                  1.516,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 0.8774,                0.96117,                 1.3312,                0.94205,                0.39333,                0.46482,                0.33903,                 1.7318,                 2.2954,                 1.5177,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.73512,                 1.1738,                 1.2497,                0.94205,                0.39333,                0.46482,                0.33903,                 1.7318,                 2.2954,                 1.5177,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.80845,                0.94645,                 1.1637,                0.94291,                0.39309,                0.46562,                0.33903,                 1.7395,                 2.3066,                 1.5292,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 0.8654,                0.94469,                 1.2651,                0.94291,                0.39309,                0.46562,                0.33903,                 1.7395,                 2.3066,                 1.5292,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.65464,                0.71788,                 1.2011,                0.94291,                0.39309,                0.46562,                0.33903,                 1.7395,                 2.3066,                 1.5292,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.79108,                  0.912,                 1.2498,                0.94351,                 0.3949,                0.45937,                0.34927,                 1.7338,                 2.3005,                 1.5178,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.68701,                 0.9234,                 1.0523,                0.94351,                 0.3949,                0.45937,                0.34927,                 1.7338,                 2.3005,                 1.5178,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.2073,                 1.8181,                 1.6254,                0.94351,                 0.3949,                0.45937,                0.34927,                 1.7338,                 2.3005,                 1.5178,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0447,                 1.5606,                 1.3718,                0.94506,                 0.3964,                0.42687,                0.31867,                 1.7416,                 2.3142,                 1.5173,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.86845,                 1.5359,                 1.3063,                0.94506,                 0.3964,                0.42687,                0.31867,                 1.7416,                 2.3142,                 1.5173,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.73205,                0.78346,                 1.1614,                0.94506,                 0.3964,                0.42687,                0.31867,                 1.7416,                 2.3142,                 1.5173,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                  1.073,                0.82679,                 1.5717,                0.94299,                0.39784,                0.42862,                0.31933,                 1.7982,                 2.3714,                 1.5629,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.62446,                 0.7537,                 1.0977,                0.94299,                0.39784,                0.42862,                0.31933,                 1.7982,                 2.3714,                 1.5629,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.71661,                0.94473,                 1.0653,                0.94299,                0.39784,                0.42862,                0.31933,                 1.7982,                 2.3714,                 1.5629,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.79206,                0.87059,                 1.1705,                0.94156,                0.39752,                0.42816,                0.31904,                 1.8639,                 2.4009,                 1.6337,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.67129,                0.72553,                 1.0971,                0.94156,                0.39752,                0.42816,                0.31904,                 1.8639,                 2.4009,                 1.6337,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.59525,                0.88981,                 1.1916,                0.94156,                0.39752,                0.42816,                0.31904,                 1.8639,                 2.4009,                 1.6337,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.69989,                 1.1811,                 1.1111,                0.94042,                0.39776,                0.42869,                0.31775,                 1.8234,                 2.3691,                 1.5709,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.75441,                 1.1235,                 1.1065,                0.94042,                0.39776,                0.42869,                0.31775,                 1.8234,                 2.3691,                 1.5709,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0302,                 2.0709,                 1.4315,                0.94042,                0.39776,                0.42869,                0.31775,                 1.8234,                 2.3691,                 1.5709,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.69844,                 1.0909,                  1.189,                0.94054,                 0.3967,                0.42817,                0.30068,                    1.8,                 2.3233,                 1.5444,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.97873,                 1.0302,                 1.4312,                0.94054,                 0.3967,                0.42817,                0.30068,                    1.8,                 2.3233,                 1.5444,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0315,                 1.4471,                 1.4084,                0.94054,                 0.3967,                0.42817,                0.30068,                    1.8,                 2.3233,                 1.5444,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.64005,                0.67363,                 1.0845,                0.94423,                0.39882,                0.42899,                0.30428,                 1.8134,                  2.339,                  1.555,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.71109,                 1.0325,                 1.0756,                0.94423,                0.39882,                0.42899,                0.30428,                 1.8134,                  2.339,                  1.555,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.72851,                0.70506,                  1.199,                0.94423,                0.39882,                0.42899,                0.30428,                 1.8134,                  2.339,                  1.555,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 0.7409,                0.59408,                  1.157,                 0.9435,                0.39854,                 0.4293,                0.30447,                  1.843,                 2.3609,                 1.5915,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.60641,                0.97482,                 1.1397,                 0.9435,                0.39854,                 0.4293,                0.30447,                  1.843,                 2.3609,                 1.5915,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.66405,                0.67548,                 1.1177,                 0.9435,                0.39854,                 0.4293,                0.30447,                  1.843,                 2.3609,                 1.5915,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.88242,                  1.199,                 1.2104,                0.94106,                0.39593,                0.42751,                0.29391,                 1.8445,                 2.3448,                 1.5865,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.55826,                0.74493,                 1.1054,                0.94106,                0.39593,                0.42751,                0.29391,                 1.8445,                 2.3448,                 1.5865,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.69629,                0.82722,                 1.1362,                0.94106,                0.39593,                0.42751,                0.29391,                 1.8445,                 2.3448,                 1.5865,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.52299,                0.48636,                0.99415,                0.94203,                    0.4,                0.43014,                 0.2949,                 1.8479,                 2.3528,                 1.5862,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.74821,                0.71285,                 1.1479,                0.94203,                    0.4,                0.43014,                 0.2949,                 1.8479,                 2.3528,                 1.5862,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.80509,                0.87788,                 1.2164,                0.94203,                    0.4,                0.43014,                 0.2949,                 1.8479,                 2.3528,                 1.5862,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 0.6599,                0.67921,                 1.0632,                0.93984,                    0.4,                0.43063,                0.29557,                 1.8535,                 2.3774,                 1.5911,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.64944,                0.81591,                 1.1682,                0.93984,                    0.4,                0.43063,                0.29557,                 1.8535,                 2.3774,                 1.5911,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.98362,                0.93285,                 1.2113,                0.93984,                    0.4,                0.43063,                0.29557,                 1.8535,                 2.3774,                 1.5911,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.70207,                0.80979,                 1.0442,                0.93984,                    0.4,                0.43063,                0.29557,                 1.8535,                 2.3774,                 1.5911,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.81248,                  1.092,                 1.3891,                0.94051,                0.39994,                0.43011,                0.29552,                 1.8582,                  2.388,                 1.5784,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0183,                 1.1121,                  1.507,                0.94051,                0.39994,                0.43011,                0.29552,                 1.8582,                  2.388,                 1.5784,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.61958,                0.67698,                 1.0018,                0.94051,                0.39994,                0.43011,                0.29552,                 1.8582,                  2.388,                 1.5784,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.56719,                0.58272,                0.95289,                0.94051,                0.39994,                0.43011,                0.29552,                 1.8582,                  2.388,                 1.5784,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.74321,                0.86204,                0.99033,                0.94698,                0.39754,                0.42739,                 0.2939,                 1.7546,                 2.3792,                 1.4916,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.42136,                  0.509,                0.98176,                0.94698,                0.39754,                0.42739,                 0.2939,                 1.7546,                 2.3792,                 1.4916,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.58174,                0.53386,                0.91186,                0.94698,                0.39754,                0.42739,                 0.2939,                 1.7546,                 2.3792,                 1.4916,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.47003,                0.54976,                0.94738,                0.94698,                0.39754,                0.42739,                 0.2939,                 1.7546,                 2.3792,                 1.4916,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 0.4775,                0.54567,                0.98883,                0.93976,                0.39653,                 0.4261,                0.31108,                 1.7963,                 2.4266,                 1.5116,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.70841,                0.81234,                 1.0415,                0.93976,                0.39653,                 0.4261,                0.31108,                 1.7963,                 2.4266,                 1.5116,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.47162,                0.56119,                0.90897,                0.93976,                0.39653,                 0.4261,                0.31108,                 1.7963,                 2.4266,                 1.5116,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.57116,                0.65068,                0.97014,                0.93976,                0.39653,                 0.4261,                0.31108,                 1.7963,                 2.4266,                 1.5116,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.46782,                0.55631,                0.97563,                 0.9482,                0.39679,                0.50962,                0.37641,                 1.7515,                 2.4145,                  1.497,             2.3444e-06,             2.3444e-06,             2.3444e-06
